2024-06-29 13:03:11.010 | ERROR   | _logging.py:63 [MainThread] -   File "C:\Users\admin\anaconda3\envs\translate\Lib\site-packages\loguru\_simple_sinks.py", line 16, in write
2024-06-29 13:03:12.941 | ERROR   | _logging.py:63 [MainThread] -     self._stream.write(message)
2024-06-29 13:03:14.859 | ERROR   | _logging.py:63 [MainThread] -   File "C:\Users\admin\anaconda3\envs\translate\Lib\site-packages\colorama\ansitowin32.py", line 47, in write
2024-06-29 13:03:16.779 | ERROR   | _logging.py:63 [MainThread] -     self.__convertor.write(text)
2024-06-29 13:03:18.713 | ERROR   | _logging.py:63 [MainThread] -   File "C:\Users\admin\anaconda3\envs\translate\Lib\site-packages\colorama\ansitowin32.py", line 177, in write
2024-06-29 13:03:20.650 | ERROR   | _logging.py:63 [MainThread] -     self.write_and_convert(text)
2024-06-29 13:03:22.567 | ERROR   | _logging.py:63 [MainThread] -   File "C:\Users\admin\anaconda3\envs\translate\Lib\site-packages\colorama\ansitowin32.py", line 202, in write_and_convert
2024-06-29 13:03:24.471 | ERROR   | _logging.py:63 [MainThread] -     self.write_plain_text(text, cursor, start)
2024-06-29 13:03:26.399 | ERROR   | _logging.py:63 [MainThread] -   File "C:\Users\admin\anaconda3\envs\translate\Lib\site-packages\colorama\ansitowin32.py", line 211, in write_plain_text
2024-06-29 13:03:28.321 | ERROR   | _logging.py:63 [MainThread] -     self.wrapped.flush()
2024-06-29 13:03:30.244 | ERROR   | _logging.py:63 [MainThread] - OSError: [WinError 233] No process is on the other end of the pipe
2024-06-29 13:03:32.186 | ERROR   | _logging.py:63 [MainThread] - During handling of the above exception, another exception occurred:
2024-06-29 13:03:34.129 | ERROR   | _logging.py:63 [MainThread] - Traceback (most recent call last):
2024-06-29 13:03:36.041 | ERROR   | _logging.py:63 [MainThread] -   File "C:\Users\admin\anaconda3\envs\translate\Lib\site-packages\loguru\_handler.py", line 177, in emit
2024-06-29 13:03:37.973 | ERROR   | _logging.py:63 [MainThread] -     self._sink.write(str_record)
2024-06-29 13:03:39.895 | ERROR   | _logging.py:63 [MainThread] -   File "C:\Users\admin\anaconda3\envs\translate\Lib\site-packages\loguru\_simple_sinks.py", line 16, in write
2024-06-29 13:03:41.821 | ERROR   | _logging.py:63 [MainThread] -     self._stream.write(message)
2024-06-29 13:03:43.760 | ERROR   | _logging.py:63 [MainThread] -   File "C:\Users\admin\anaconda3\envs\translate\Lib\site-packages\colorama\ansitowin32.py", line 47, in write
2024-06-29 13:03:46.751 | ERROR   | _logging.py:63 [MainThread] -     self.__convertor.write(text)
2024-06-29 13:03:48.978 | ERROR   | _logging.py:63 [MainThread] -   File "C:\Users\admin\anaconda3\envs\translate\Lib\site-packages\colorama\ansitowin32.py", line 177, in write
2024-06-29 13:03:51.004 | ERROR   | _logging.py:63 [MainThread] -     self.write_and_convert(text)
2024-06-29 13:03:52.948 | ERROR   | _logging.py:63 [MainThread] -   File "C:\Users\admin\anaconda3\envs\translate\Lib\site-packages\colorama\ansitowin32.py", line 202, in write_and_convert
2024-06-29 13:03:54.909 | ERROR   | _logging.py:63 [MainThread] -     self.write_plain_text(text, cursor, start)
2024-06-29 13:03:56.860 | ERROR   | _logging.py:63 [MainThread] -   File "C:\Users\admin\anaconda3\envs\translate\Lib\site-packages\colorama\ansitowin32.py", line 211, in write_plain_text
2024-06-29 13:03:58.813 | ERROR   | _logging.py:63 [MainThread] -     self.wrapped.flush()
2024-06-29 13:04:00.751 | ERROR   | _logging.py:63 [MainThread] - OSError: [WinError 233] No process is on the other end of the pipe
2024-06-29 13:04:02.704 | ERROR   | _logging.py:63 [MainThread] - During handling of the above exception, another exception occurred:
2024-06-29 13:04:04.653 | ERROR   | _logging.py:63 [MainThread] - Traceback (most recent call last):
2024-06-29 13:04:06.599 | ERROR   | _logging.py:63 [MainThread] -   File "C:\Users\admin\anaconda3\envs\translate\Lib\site-packages\loguru\_handler.py", line 177, in emit
2024-06-29 13:04:08.520 | ERROR   | _logging.py:63 [MainThread] -     self._sink.write(str_record)
2024-06-29 13:04:10.469 | ERROR   | _logging.py:63 [MainThread] -   File "C:\Users\admin\anaconda3\envs\translate\Lib\site-packages\loguru\_simple_sinks.py", line 16, in write
2024-06-29 13:04:12.419 | ERROR   | _logging.py:63 [MainThread] -     self._stream.write(message)
2024-06-29 13:04:14.357 | ERROR   | _logging.py:63 [MainThread] -   File "C:\Users\admin\anaconda3\envs\translate\Lib\site-packages\colorama\ansitowin32.py", line 47, in write
2024-06-29 13:04:16.300 | ERROR   | _logging.py:63 [MainThread] -     self.__convertor.write(text)
2024-06-29 13:04:18.244 | ERROR   | _logging.py:63 [MainThread] -   File "C:\Users\admin\anaconda3\envs\translate\Lib\site-packages\colorama\ansitowin32.py", line 177, in write
